



0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43
																														WT59	WT62	WT63	WT64	WT65	WT67	WT30	L30	WT81	WT69	WT70	WT71	WT72	WT73
datetime	GS	L_GS	HB	L_HB	TB	L_TB	SD	RD	OO	UO	UW	L_UW	J1	J2	J3	Z1	Z2	BD	WD	BG	L_BG	ZuTB	L_TB	ZuSB	LSB	ZuTBB	L_ZuTBB	ZuEB	L_ZuEB	BURG	EISE	DEUT_R	DEUT_P	DEUT_U	BILD_P	BILD_U	Lux	BILD_R	EBER	POST	GAAS_RO	GAAS	MOSCH
41456.00000	7.381	0.000	10.063	0.000	11.139	0.000	15.282	14.613	nan	15.187	15.187	0.000	15.282	15.187	nan	nan	16.141	15.187	nan	14.804	0.000	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
41456.04167	7.381	0.000	9.866	0.000	10.846	0.000	16.427	14.134	nan	14.804	14.804	0.000	14.996	15.187	nan	nan	16.046	15.282	nan	14.709	0.000	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
41456.08333	7.280	0.000	9.669	0.000	10.553	0.000	16.999	13.654	nan	14.421	14.517	0.000	14.804	15.187	nan	nan	15.760	15.282	nan	14.709	0.000	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
41456.12500	7.179	0.000	9.472	0.000	10.357	0.000	17.379	13.269	nan	14.038	14.134	0.000	14.613	15.187	nan	nan	15.473	15.282	nan	14.709	0.000	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
41456.16667	7.179	0.000	9.275	0.000	10.161	0.000	17.094	12.787	nan	13.750	13.750	0.000	14.421	15.091	nan	nan	15.187	15.187	nan	14.709	0.000	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
41456.20833	7.079	150.700	9.176	193.800	10.063	0.000	16.332	12.497	nan	13.461	13.558	172.200	14.134	15.091	nan	nan	14.996	15.091	nan	14.709	21.500	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
41456.25000	7.079	387.500	9.176	301.400	10.063	32.300	15.760	12.207	nan	13.365	13.558	710.400	14.038	14.996	nan	nan	14.900	14.996	nan	14.613	53.800	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
41456.29167	7.280	1011.800	9.275	1550.000	10.357	129.200	14.996	12.207	nan	14.421	13.654	1722.200	13.942	14.996	nan	nan	14.804	14.900	nan	14.709	96.900	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
41456.33333	7.582	968.800	9.866	7233.400	10.846	107.600	14.325	12.497	nan	15.091	14.709	4133.400	14.038	14.900	nan	nan	14.709	14.804	nan	14.900	269.100	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
41456.37500	7.782	2669.500	9.768	1205.600	11.334	86.100	13.654	12.980	nan	16.046	15.569	5166.700	14.325	14.900	nan	nan	14.709	14.804	nan	15.187	1044.100	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
41456.41667	7.882	3100.000	10.063	2927.800	11.528	150.700	13.076	13.269	nan	14.325	14.900	1550.000	14.517	14.804	nan	nan	14.900	14.900	nan	15.473	602.800	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
41456.45833	7.882	1463.900	10.259	1808.300	11.722	96.900	12.594	13.461	nan	14.421	14.804	1636.100	14.804	14.804	nan	nan	14.996	14.900	nan	15.951	452.100	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
41456.50000	7.882	1463.900	10.455	2066.700	12.110	118.400	12.207	13.942	nan	14.900	14.996	2325.000	15.378	14.709	nan	nan	15.187	14.996	nan	16.427	538.200	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
41456.54167	7.983	1001.000	10.748	3961.100	13.654	613.500	11.819	14.325	nan	15.569	15.951	3616.700	15.855	14.709	nan	nan	15.282	15.091	nan	16.999	882.600	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
41456.58333	8.082	2755.600	11.041	2755.600	13.654	269.100	11.431	14.996	nan	15.855	16.141	645.800	15.951	14.709	nan	nan	15.569	15.282	nan	17.284	366.000	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
41456.62500	8.082	2497.200	11.334	2755.600	14.134	129.200	11.139	15.760	nan	15.664	16.808	430.600	16.237	14.804	nan	nan	15.569	15.378	nan	17.475	505.900	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
41456.66667	8.082	1119.500	11.431	1980.600	13.750	107.600	10.846	16.237	nan	15.855	16.046	753.500	16.713	14.804	nan	nan	15.855	15.473	nan	17.665	269.100	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
41456.70833	8.182	581.300	11.431	1001.000	13.365	150.700	10.651	16.618	nan	15.760	15.951	322.900	17.094	14.900	nan	nan	16.046	15.473	nan	17.760	172.200	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
41456.75000	8.082	1011.800	11.236	409.000	13.076	32.300	10.651	16.237	nan	15.951	15.951	290.600	17.284	14.900	nan	nan	16.046	15.473	nan	17.665	75.300	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
41456.79167	8.082	269.100	11.139	204.500	12.594	0.000	10.944	15.855	nan	16.046	16.046	226.000	16.618	14.996	nan	nan	16.237	15.569	nan	17.284	21.500	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
41456.83333	7.983	10.800	11.041	10.800	12.304	0.000	11.139	15.569	nan	15.951	15.855	0.000	16.332	15.091	nan	nan	16.332	15.569	nan	16.808	0.000	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
41456.87500	7.882	0.000	10.944	0.000	12.110	0.000	11.625	15.473	nan	16.141	16.046	0.000	16.141	15.187	nan	nan	16.523	15.569	nan	16.427	0.000	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
41456.91667	7.682	0.000	10.748	0.000	11.819	0.000	12.013	15.187	nan	15.855	15.855	0.000	15.855	15.282	nan	nan	16.523	15.569	nan	16.046	0.000	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
41456.95833	7.582	0.000	10.553	0.000	11.528	0.000	12.401	14.900	nan	15.473	15.473	0.000	15.664	15.282	nan	nan	16.427	15.664	nan	15.760	0.000	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
41457.00000	7.481	0.000	10.455	0.000	11.334	0.000	12.980	14.709	nan	15.091	15.187	0.000	15.569	15.378	nan	nan	16.427	15.760	nan	15.664	0.000	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
41457.04167	7.381	0.000	10.259	0.000	11.041	0.000	14.038	14.325	nan	14.804	14.900	0.000	15.473	15.378	nan	nan	16.427	15.760	nan	15.569	0.000	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
41457.08333	7.481	0.000	10.161	0.000	10.846	0.000	14.709	13.942	nan	14.613	14.613	0.000	15.187	15.378	nan	nan	16.332	15.664	nan	15.473	0.000	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
41457.12500	7.481	0.000	9.965	0.000	10.651	0.000	14.996	13.558	nan	14.325	14.325	0.000	14.900	15.282	nan	nan	16.141	15.664	nan	15.378	0.000	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
41457.16667	7.481	0.000	9.866	10.800	10.553	0.000	15.187	13.269	nan	14.038	14.134	0.000	14.613	15.282	nan	nan	15.760	15.664	nan	15.378	0.000	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
41457.20833	7.481	139.900	9.768	150.700	10.357	0.000	15.187	12.980	nan	13.846	13.942	204.500	14.421	15.282	nan	nan	15.473	15.569	nan	15.378	10.800	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
41457.25000	7.582	409.000	9.768	333.700	10.455	21.500	15.091	12.787	nan	13.750	13.942	656.600	14.230	15.187	nan	nan	15.282	15.569	nan	15.378	32.300	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
41457.29167	7.882	990.300	9.866	1237.900	10.748	43.100	14.613	12.787	nan	14.900	14.038	1722.200	14.230	15.187	nan	nan	15.187	15.473	nan	15.378	64.600	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
41457.33333	8.082	1722.200	10.357	6544.500	11.334	43.100	14.134	13.076	nan	15.664	14.996	3616.700	14.421	15.091	nan	nan	15.091	15.378	nan	15.473	215.300	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
41457.37500	8.481	2669.500	10.846	4305.600	12.013	64.600	13.846	13.846	nan	16.618	16.141	4994.500	14.804	15.091	nan	nan	15.282	15.378	nan	15.855	688.900	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
41457.41667	8.879	8266.700	12.207	17222.300	13.654	430.600	13.365	14.804	nan	17.189	17.094	5511.100	15.378	14.996	nan	nan	15.473	15.378	nan	16.237	452.100	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
41457.45833	8.978	2669.500	13.942	41333.600	16.618	1550.000	13.076	15.951	nan	17.665	18.045	6544.500	16.046	14.996	nan	nan	15.760	15.569	nan	16.713	301.400	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
41457.50000	8.978	2152.800	14.709	30311.300	17.950	667.400	12.690	17.094	nan	18.045	18.711	6544.500	16.999	14.996	nan	nan	16.046	15.664	nan	17.379	290.600	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
41457.54167	8.978	635.100	13.654	3272.200	18.616	678.100	12.304	17.760	nan	17.950	18.901	4133.400	18.045	14.996	nan	nan	16.332	15.951	nan	18.045	322.900	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
41457.58333	8.779	419.800	13.076	430.600	16.427	10.800	12.013	18.521	nan	18.140	19.092	914.900	18.901	15.091	nan	nan	17.855	nan	nan	18.616	215.300	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
41457.62500	8.779	893.400	12.690	1894.500	15.282	53.800	11.722	18.426	nan	17.950	18.521	570.500	19.377	15.187	nan	nan	nan	nan	nan	18.996	86.100	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
41457.66667	9.077	24800.200	12.594	1722.200	14.900	96.900	11.431	18.331	nan	17.950	17.855	828.800	19.567	nan	nan	nan	nan	nan	nan	18.901	64.600	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
41457.70833	8.779	344.400	12.497	581.300	14.517	21.500	11.236	18.045	nan	18.236	18.140	419.800	19.472	nan	19.567	nan	nan	nan	nan	18.806	32.300	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
41457.75000	8.680	688.900	12.401	1345.500	14.134	53.800	11.236	17.760	nan	18.236	18.236	462.900	19.092	nan	19.472	nan	nan	nan	nan	18.331	21.500	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
41457.79167	8.581	183.000	12.304	129.200	13.750	0.000	11.431	17.665	nan	18.236	18.236	118.400	18.331	nan	19.092	nan	nan	nan	nan	17.950	10.800	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
41457.83333	8.481	0.000	12.110	0.000	13.365	0.000	11.722	17.665	nan	17.855	17.950	0.000	18.045	nan	18.331	nan	nan	nan	nan	17.475	0.000	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
41457.87500	8.382	0.000	11.916	0.000	12.980	0.000	12.497	17.284	nan	17.570	17.570	0.000	17.950	nan	17.950	nan	nan	nan	nan	17.284	0.000	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
41457.91667	8.182	0.000	11.722	0.000	12.787	0.000	14.134	16.808	nan	17.284	17.379	0.000	17.855	nan	17.855	nan	nan	nan	nan	17.094	0.000	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
41457.95833	8.082	0.000	11.528	0.000	12.497	0.000	15.760	16.427	nan	16.999	16.999	0.000	17.665	nan	17.760	nan	nan	nan	nan	16.903	0.000	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
41458.00000	8.082	0.000	11.334	0.000	12.304	0.000	17.189	15.855	nan	16.808	16.808	0.000	17.379	nan	17.570	nan	nan	nan	nan	16.808	0.000	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
41458.04167	8.082	0.000	11.236	0.000	12.013	0.000	18.521	15.473	nan	16.523	16.523	0.000	17.094	nan	17.284	nan	nan	nan	nan	16.713	0.000	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
41458.08333	7.983	0.000	11.041	0.000	11.819	0.000	18.045	15.091	nan	16.046	16.141	0.000	16.808	nan	16.903	nan	nan	nan	nan	16.713	0.000	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
41458.12500	7.983	0.000	10.944	0.000	11.625	0.000	17.284	14.709	nan	15.760	15.760	0.000	16.427	nan	16.618	nan	nan	nan	nan	16.618	0.000	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
41458.16667	7.983	0.000	10.846	0.000	11.431	0.000	17.284	14.325	nan	15.282	15.378	0.000	16.237	nan	16.332	nan	nan	nan	nan	16.713	0.000	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
