sza	glo_korr[W/m²]
23	925.17
24	921.95
25	918.39
26	909.54
27	900.34
28	890.85
29	881.06
30	870.94
31	860.50
32	849.82
33	838.80
34	827.50
35	815.90
36	804.06
37	791.92
38	779.51
39	766.83
40	753.90
41	740.72
42	727.28
43	713.59
44	699.68
45	685.53
46	671.18
47	656.58
48	641.77
49	626.78
50	611.57
51	596.17
52	580.59
53	564.85
54	548.93
55	532.85
56	516.62
57	500.25
58	483.75
59	467.13
60	450.39
61	433.56
62	416.63
63	399.63
64	382.56
65	365.44
66	348.28
67	331.09
68	313.90
69	296.71
70	279.56
71	262.45
72	245.41
73	228.47
74	211.65
75	194.98
76	178.49
77	162.24
78	146.25
79	130.59
80	115.31
81	100.49
82	86.21
83	72.58
84	59.72
85	47.78
86	36.94
87	27.43
88	19.48
89	13.32
91	4.81
