Stream_KM,Longitude,Latitude,TopoWest,TopoSouth,TopoEast,VEG0_RT,VEG1_RT,VEG2_RT,VEG3_RT,VEG4_RT,VEG5_RT,VEG6_RT,VEG7_RT,VEG8_RT,VEG9_RT,VEG0_LT,VEG1_LT,VEG2_LT,VEG3_LT,VEG4_LT,VEG5_LT,VEG6_LT,VEG7_LT,VEG8_LT,VEG9_LT,ELEV_V0_RT,ELEV_V1_RT,ELEV_V2_RT,ELEV_V3_RT,ELEV_V4_RT,ELEV_V5_RT,ELEV_V6_RT,ELEV_V7_RT,ELEV_V8_RT,ELEV_V9_RT,ELEV_V0_LT,ELEV_V1_LT,ELEV_V2_LT,ELEV_V3_LT,ELEV_V4_LT,ELEV_V5_LT,ELEV_V6_LT,ELEV_V7_LT,ELEV_V8_LT,ELEV_V9_LT,LAT_V0_RT,LAT_V1_RT,LAT_V2_RT,LAT_V3_RT,LAT_V4_RT,LAT_V5_RT,LAT_V6_RT,LAT_V7_RT,LAT_V8_RT,LAT_V9_RT,LAT_V0_LT,LAT_V1_LT,LAT_V2_LT,LAT_V3_LT,LAT_V4_LT,LAT_V5_LT,LAT_V6_LT,LAT_V7_LT,LAT_V8_LT,LAT_V9_LT,LON_V0_RT,LON_V1_RT,LON_V2_RT,LON_V3_RT,LON_V4_RT,LON_V5_RT,LON_V6_RT,LON_V7_RT,LON_V8_RT,LON_V9_RT,LON_V0_LT,LON_V1_LT,LON_V2_LT,LON_V3_LT,LON_V4_LT,LON_V5_LT,LON_V6_LT,LON_V7_LT,LON_V8_LT,LON_V9_LT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113.7,15.81540339,47.37970234,45,45,7.220721905,166.00,166.00,166.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,166.00,166.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,950.00,951.00,951.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,950.00,950.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,47.38,47.38,47.38,0.00,0.00,0.00,0.00,0.00,0.00,0.00,47.38,47.38,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.82,15.82,15.82,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.82,15.82,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113.65,15.81526237,47.38014179,3.886101222,12.52880771,7.475737386,0.00,142.00,142.00,142.00,142.00,142.00,142.00,182.00,182.00,182.00,0.00,166.00,166.00,166.00,166.00,166.00,166.00,166.00,166.00,166.00,0.00,946.00,946.00,946.00,946.00,946.00,945.00,943.00,944.00,946.00,0.00,947.00,946.00,946.00,945.00,946.00,946.00,947.00,947.00,947.00,0.00,47.38,47.38,47.38,47.38,47.38,47.38,47.38,47.38,47.38,0.00,47.38,47.38,47.38,47.38,47.38,47.38,47.38,47.38,47.38,0.00,15.82,15.82,15.82,15.82,15.82,15.82,15.82,15.82,15.82,0.00,15.82,15.82,15.82,15.82,15.82,15.82,15.81,15.81,15.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113.6,15.81522143,47.38057511,3.94394248,18.43494882,45,166.00,166.00,166.00,166.00,182.00,182.00,182.00,182.00,182.00,182.00,166.00,166.00,166.00,166.00,166.00,166.00,166.00,166.00,166.00,166.00,937.00,937.00,935.00,933.00,935.00,936.00,937.00,938.00,939.00,940.00,937.00,937.00,936.00,936.00,938.00,938.00,938.00,939.00,939.00,939.00,47.38,47.38,47.38,47.38,47.38,47.38,47.38,47.38,47.38,47.38,47.38,47.38,47.38,47.38,47.38,47.38,47.38,47.38,47.38,47.38,15.82,15.82,15.82,15.82,15.82,15.82,15.82,15.82,15.82,15.82,15.82,15.82,15.82,15.82,15.82,15.81,15.81,15.81,15.81,15.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113.55,15.81529002,47.38097449,4.295665799,17.35402464,18.43494882,0.00,166.00,166.00,166.00,166.00,182.00,182.00,166.00,166.00,166.00,0.00,166.00,166.00,101.00,101.00,101.00,101.00,101.00,101.00,101.00,0.00,930.00,931.00,932.00,933.00,934.00,934.00,935.00,936.00,937.00,0.00,927.00,926.00,925.00,924.00,923.00,923.00,922.00,922.00,922.00,0.00,47.38,47.38,47.38,47.38,47.38,47.38,47.38,47.38,47.38,0.00,47.38,47.38,47.38,47.38,47.38,47.38,47.38,47.38,47.38,0.00,15.82,15.82,15.82,15.82,15.82,15.82,15.82,15.82,15.82,0.00,15.82,15.82,15.82,15.81,15.81,15.81,15.81,15.81,15.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113.5,15.81493939,47.3813505,4.78997027,26.56505118,18.43494882,166.00,166.00,166.00,166.00,166.00,101.00,101.00,101.00,101.00,101.00,166.00,182.00,182.00,101.00,101.00,101.00,101.00,101.00,101.00,101.00,918.00,918.00,917.00,918.00,917.00,918.00,918.00,918.00,919.00,919.00,918.00,918.00,919.00,920.00,920.00,920.00,921.00,921.00,922.00,923.00,47.38,47.38,47.38,47.38,47.38,47.38,47.38,47.38,47.38,47.38,47.38,47.38,47.38,47.38,47.38,47.38,47.38,47.38,47.38,47.38,15.82,15.82,15.82,15.82,15.82,15.82,15.82,15.82,15.82,15.82,15.82,15.82,15.82,15.82,15.82,15.82,15.81,15.81,15.81,15.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113.45,15.81472794,47.38177673,10.0079798,18.43494882,18.43494882,166.00,166.00,166.00,166.00,101.00,187.00,187.00,182.00,182.00,182.00,166.00,166.00,166.00,166.00,166.00,166.00,166.00,166.00,166.00,166.00,909.00,909.00,909.00,911.00,911.00,911.00,911.00,911.00,911.00,912.00,909.00,909.00,909.00,909.00,909.00,909.00,910.00,911.00,913.00,914.00,47.38,47.38,47.38,47.38,47.38,47.38,47.38,47.38,47.38,47.38,47.38,47.38,47.38,47.38,47.38,47.38,47.38,47.38,47.38,47.38,15.81,15.82,15.82,15.82,15.82,15.82,15.82,15.82,15.82,15.82,15.81,15.81,15.81,15.81,15.81,15.81,15.81,15.81,15.81,15.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113.4,15.81452038,47.38220363,45,45,10.0079798,166.00,166.00,166.00,185.00,185.00,185.00,185.00,185.00,185.00,185.00,166.00,166.00,166.00,166.00,166.00,166.00,166.00,166.00,166.00,166.00,900.00,901.00,902.00,903.00,903.00,903.00,903.00,903.00,903.00,904.00,900.00,900.00,901.00,903.00,904.00,905.00,906.00,907.00,908.00,909.00,47.38,47.38,47.38,47.38,47.38,47.38,47.38,47.38,47.38,47.38,47.38,47.38,47.38,47.38,47.38,47.38,47.38,47.38,47.38,47.38,15.81,15.81,15.81,15.81,15.81,15.82,15.82,15.82,15.82,15.82,15.81,15.81,15.81,15.81,15.81,15.81,15.81,15.81,15.81,15.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113.35,15.81440932,47.38264703,6.294594841,10.72629447,8.303462731,166.00,166.00,166.00,166.00,166.00,185.00,185.00,185.00,185.00,166.00,166.00,166.00,166.00,166.00,166.00,166.00,166.00,166.00,166.00,166.00,892.00,892.00,893.00,894.00,894.00,895.00,896.00,897.00,897.00,898.00,892.00,895.00,897.00,898.00,898.00,898.00,899.00,899.00,899.00,899.00,47.38,47.38,47.38,47.38,47.38,47.38,47.38,47.38,47.38,47.38,47.38,47.38,47.38,47.38,47.38,47.38,47.38,47.38,47.38,47.38,15.81,15.81,15.81,15.81,15.81,15.81,15.81,15.81,15.82,15.82,15.81,15.81,15.81,15.81,15.81,15.81,15.81,15.81,15.81,15.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113.3,15.81421408,47.38307675,6.879266082,45,45,133.00,101.00,101.00,101.00,101.00,101.00,101.00,101.00,101.00,101.00,133.00,101.00,101.00,101.00,101.00,166.00,166.00,166.00,166.00,166.00,888.00,888.00,888.00,888.00,889.00,890.00,891.00,891.00,892.00,892.00,888.00,888.00,888.00,888.00,889.00,889.00,890.00,890.00,890.00,891.00,47.38,47.38,47.38,47.38,47.38,47.38,47.38,47.38,47.38,47.38,47.38,47.38,47.38,47.38,47.38,47.38,47.38,47.38,47.38,47.38,15.81,15.81,15.81,15.81,15.81,15.81,15.81,15.81,15.81,15.81,15.81,15.81,15.81,15.81,15.81,15.81,15.81,15.81,15.81,15.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113.25,15.81410871,47.38351683,7.464386146,10.2320206,9.462322208,133.00,101.00,101.00,101.00,101.00,101.00,101.00,101.00,101.00,101.00,133.00,101.00,101.00,101.00,101.00,101.00,101.00,101.00,101.00,101.00,882.00,883.00,883.00,883.00,884.00,885.00,885.00,886.00,887.00,887.00,882.00,883.00,883.00,883.00,883.00,883.00,884.00,884.00,885.00,885.00,47.38,47.38,47.38,47.38,47.38,47.38,47.38,47.38,47.38,47.38,47.38,47.38,47.38,47.38,47.38,47.38,47.38,47.38,47.38,47.38,15.81,15.81,15.81,15.81,15.81,15.81,15.81,15.81,15.81,15.81,15.81,15.81,15.81,15.81,15.81,15.81,15.81,15.81,15.81,15.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
