Stream_KM,Elevation,Gradient,BottomWidth,ChannelAngleZ ,Mannings_n,SedThermalConductivity,SedThermalDiffusivity,SedHyporheicThickness,%HyporheicExchange,Porosity
113.7,950,0,0.3,0.15,0.04,2,0.0064,0.1,0.01,0.35
113.65,946,0.15699337,0.3,0.15,0.04,2,0.0064,0.1,0.01,0.35
113.6,937,0.18,0.3,0.15,0.04,2,0.0064,0.1,0.01,0.35
113.55,928,0.18,0.3,0.15,0.04,2,0.0064,0.1,0.01,0.35
113.5,918,0.2,0.3,0.15,0.04,2,0.0064,0.1,0.01,0.35
113.45,909,0.18,0.3,0.15,0.04,2,0.0064,0.1,0.01,0.35
113.4,900,0.18,0.3,0.15,0.04,2,0.0064,0.1,0.01,0.35
113.35,892,0.16,0.3,0.15,0.04,2,0.0064,0.1,0.01,0.35
113.3,888,0.08,0.3,0.15,0.03,2,0.0064,0.1,0.01,0
113.25,882,0.12,0.3,0.15,0.03,2,0.0064,0.1,0.01,0
113.2,878,0.08,0.3,0.15,0.03,2,0.0064,0.1,0.01,0
113.15,875,0.06,0.3,0.15,0.03,2,0.0064,0.1,0.01,0
113.1,871,0.08,0.3,0.15,0.03,2,0.0064,0.1,0.01,0
113.05,869,0.04,0.3,0.15,0.03,2,0.0064,0.1,0.01,0
113,867,0.04,0.3,0.15,0.03,2,0.0064,0.1,0.01,0
112.95,862,0.1,0.3,0.15,0.03,2,0.0064,0.1,0.01,0
112.9,856,0.12,0.2,0.15,0.04,2,0.0064,0.1,0.01,0.35
112.85,853,0.06,0.2,0.15,0.04,2,0.0064,0.1,0.01,0.35
112.8,849,0.08,0.2,0.15,0.04,2,0.0064,0.1,0.01,0.35
112.75,845,0.08,0.2,0.15,0.04,2,0.0064,0.1,0.01,0.35
112.7,841,0.08,0.2,0.15,0.04,2,0.0064,0.1,0.01,0.35
112.65,840,0.02,0.6,0.5,0.04,2,0.0064,0.1,0.01,0.35
112.6,834,0.12,0.6,0.5,0.04,2,0.0064,0.1,0.01,0.35
112.55,829,0.1,0.6,0.5,0.04,2,0.0064,0.1,0.01,0.35
112.5,828,0.02,0.6,0.5,0.04,2,0.0064,0.1,0.01,0.35
112.45,826,0.04,0.6,0.5,0.04,2,0.0064,0.1,0.01,0.35
112.4,823,0.06,0.6,0.5,0.04,2,0.0064,0.1,0.01,0.35
112.35,819,0.08,0.6,0.5,0.04,2,0.0064,0.1,0.01,0.35
112.3,818,0.02,0.6,0.5,0.04,2,0.0064,0.1,0.01,0.35
112.25,817,0.02,0.6,0.5,0.04,2,0.0064,0.1,0.01,0.35
112.2,812,0.1,0.6,0.5,0.04,2,0.0064,0.1,0.01,0.35
112.15,810,0.04,0.6,0.5,0.04,2,0.0064,0.1,0.01,0.35
112.1,809,0.02,0.6,0.5,0.04,2,0.0064,0.1,0.01,0.35
112.05,805,0.08,0.6,0.5,0.04,2,0.0064,0.1,0.01,0.35
112,803,0.04,0.6,0.5,0.04,2,0.0064,0.1,0.01,0.35
111.95,800,0.06,0.6,0.5,0.04,2,0.0064,0.1,0.01,0.35
111.9,798,0.04,1,0.325,0.035,2,0.0064,0.1,0.01,0.35
111.85,797,0.02,1,0.325,0.035,2,0.0064,0.1,0.01,0.35
111.8,796,0.02,1,0.325,0.035,2,0.0064,0.1,0.01,0.35
111.75,794,0.04,1,0.325,0.035,2,0.0064,0.1,0.01,0.35
111.7,793,0.02,1,0.325,0.035,2,0.0064,0.1,0.01,0.35
