Stream_KM,Longitude,Latitude,TopoWest,TopoSouth,TopoEast,VEG0_RT,VEG1_RT,VEG2_RT,VEG3_RT,VEG4_RT,VEG5_RT,VEG6_RT,VEG7_RT,VEG8_RT,VEG9_RT,VEG10_RT,VEG0_LT,VEG1_LT,VEG2_LT,VEG3_LT,VEG4_LT,VEG5_LT,VEG6_LT,VEG7_LT,VEG8_LT,VEG9_LT,ELEV_V0_RT,ELEV_V1_RT,ELEV_V2_RT,ELEV_V3_RT,ELEV_V4_RT,ELEV_V5_RT,ELEV_V6_RT,ELEV_V7_RT,ELEV_V8_RT,ELEV_V9_RT,ELEV_V0_LT,ELEV_V1_LT,ELEV_V2_LT,ELEV_V3_LT,ELEV_V4_LT,ELEV_V5_LT,ELEV_V6_LT,ELEV_V7_LT,ELEV_V8_LT,ELEV_V9_LT,LAT_V0_RT,LAT_V1_RT,LAT_V2_RT,LAT_V3_RT,LAT_V4_RT,LAT_V5_RT,LAT_V6_RT,LAT_V7_RT,LAT_V8_RT,LAT_V9_RT,LAT_V0_LT,LAT_V1_LT,LAT_V2_LT,LAT_V3_LT,LAT_V4_LT,LAT_V5_LT,LAT_V6_LT,LAT_V7_LT,LAT_V8_LT,LAT_V9_LT,LON_V0_RT,LON_V1_RT,LON_V2_RT,LON_V3_RT,LON_V4_RT,LON_V5_RT,LON_V6_RT,LON_V7_RT,LON_V8_RT,LON_V9_RT,LON_V0_LT,LON_V1_LT,LON_V2_LT,LON_V3_LT,LON_V4_LT,LON_V5_LT,LON_V6_LT,LON_V7_LT,LON_V8_LT,LON_V9_LT
38,16.41130686,47.21116675,26.56505118,7.075466826,18.43494882,0,0,103,103,103,103,259,259,241,241,0,0,0,242,242,242,241,241,241,241,241,239,239,239,241,240,240,240,240,240,240,238,238,239,239,240,240,241,242,244,247,0,0,47.2079345,47.2079027,47.20787089,47.20783909,47.20780729,47.20777549,47.20774369,47.20771189,0,0,47.2080617,47.20809351,47.20812531,47.20815711,47.20818891,47.20822071,47.20825251,47.20828432,0,0,16.42535921,16.42540589,16.42545257,16.42549924,16.42554592,16.4255926,16.42563928,16.42568595,0,0,16.4251725,16.42512582,16.42507914,16.42503246,16.42498579,16.42493911,16.42489243,16.42484575
37.95,16.41143663,47.21073443,45,45,45,0,0,103,103,103,259,259,241,241,241,0,0,0,103,103,103,103,241,241,241,241,239,239,239,240,240,240,240,240,240,240,238,238,240,241,240,240,240,240,240,240,0,0,47.20797948,47.20793503,47.20789058,47.20784613,47.20780169,47.20775724,47.20771279,47.20766834,0,0,47.20815727,47.20820172,47.20824616,47.20829061,47.20833506,47.20837951,47.20842395,47.2084684,0,0,16.42585085,16.42584073,16.42583061,16.4258205,16.42581038,16.42580026,16.42579014,16.42578002,0,0,16.42589132,16.42590144,16.42591156,16.42592168,16.4259318,16.42594191,16.42595203,16.42596215
37.9,16.41156073,47.21029613,23.19859051,8.130102354,10.30484647,0,0,241,241,241,241,241,241,241,241,0,0,0,103,103,103,103,103,103,241,241,239,239,241,249,253,258,262,266,269,273,238,238,240,240,240,240,240,240,240,240,0,0,47.20808024,47.20805392,47.2080276,47.20800128,47.20797496,47.20794864,47.20792232,47.207896,0,0,47.20818552,47.20821185,47.20823817,47.20826449,47.20829081,47.20831713,47.20834345,47.20836977,0,0,16.42655163,16.42660516,16.42665868,16.4267122,16.42676573,16.42681925,16.42687278,16.4269263,0,0,16.42633753,16.42628401,16.42623048,16.42617696,16.42612343,16.42606991,16.42601638,16.42596286
37.85,16.41172749,47.20987529,14.2645123,7.810625106,23.19859051,0,0,241,241,241,241,241,241,241,241,0,0,0,103,103,103,241,241,241,241,241,239,239,237,240,241,245,250,257,261,265,238,238,240,240,240,240,240,240,240,240,0,0,47.20846787,47.20844253,47.2084172,47.20839186,47.20836652,47.20834118,47.20831584,47.2082905,0,0,47.20856923,47.20859456,47.2086199,47.20864524,47.20867058,47.20869592,47.20872126,47.20874659,0,0,16.42688876,16.42694329,16.42699783,16.42705236,16.4271069,16.42716143,16.42721597,16.42727051,0,0,16.42667061,16.42661607,16.42656154,16.426507,16.42645247,16.42639793,16.42634339,16.42628886
37.8,16.41150877,47.2094564,19.72227776,8.151378172,15.9453959,0,0,241,241,241,241,241,241,241,241,0,0,0,183,183,183,241,241,241,241,241,239,239,237,240,240,240,240,240,240,242,238,238,239,239,240,240,240,241,244,247,0,0,47.20892904,47.20892117,47.2089133,47.20890543,47.20889756,47.2088897,47.20888183,47.20887396,0,0,47.20896052,47.20896839,47.20897626,47.20898413,47.208992,47.20899987,47.20900773,47.2090156,0,0,16.42710145,16.42716644,16.42723143,16.42729642,16.4273614,16.42742639,16.42749138,16.42755637,0,0,16.42684149,16.42677651,16.42671152,16.42664653,16.42658154,16.42651655,16.42645156,16.42638657
37.75,16.41147211,47.20900764,45,8.574821337,45,0,0,241,241,241,241,241,241,241,241,0,0,0,241,241,241,241,241,241,241,241,239,239,239,240,240,240,240,240,240,240,238,238,240,240,242,245,249,252,256,259,0,0,47.20928991,47.20926129,47.20923266,47.20920404,47.20917542,47.20914679,47.20911817,47.20908955,0,0,47.2094044,47.20943302,47.20946165,47.20949027,47.20951889,47.20954751,47.20957614,47.20960476,0,0,16.42734128,16.4273922,16.42744311,16.42749403,16.42754495,16.42759587,16.42764678,16.4276977,0,0,16.42713761,16.42708669,16.42703577,16.42698486,16.42693394,16.42688302,16.4268321,16.42678118
37.7,16.41148098,47.20855798,45,8.984041254,20.55604522,0,0,241,241,241,241,241,241,241,241,0,0,0,241,241,241,241,241,241,241,241,239,239,240,240,240,240,240,240,240,240,238,238,239,241,244,248,252,256,259,261,0,0,47.20959477,47.20956059,47.2095264,47.20949222,47.20945803,47.20942385,47.20938966,47.20935548,0,0,47.20973152,47.2097657,47.20979989,47.20983407,47.20986826,47.20990244,47.20993663,47.20997081,0,0,16.42779155,16.42783445,16.42787735,16.42792024,16.42796314,16.42800604,16.42804894,16.42809183,0,0,16.42761996,16.42757706,16.42753416,16.42749127,16.42744837,16.42740547,16.42736257,16.42731967
37.65,16.411528,47.20811,21.80140949,9.433906383,23.19859051,0,0,241,241,241,241,241,241,241,241,0,0,0,241,241,241,241,241,241,241,241,239,239,240,240,240,239,239,239,239,240,238,238,239,241,244,248,252,255,258,261,0,0,47.20984394,47.20980683,47.20976971,47.2097326,47.20969548,47.20965837,47.20962125,47.20958414,0,0,47.20999241,47.21002952,47.21006664,47.21010375,47.21014087,47.21017798,47.2102151,47.21025221,0,0,16.42832394,16.42836123,16.42839851,16.4284358,16.42847309,16.42851037,16.42854766,16.42858495,0,0,16.42817479,16.4281375,16.42810022,16.42806293,16.42802564,16.42798835,16.42795107,16.42791378
37.6,16.41183737,47.20771879,21.80140949,10.0079798,20.55604522,0,0,241,241,241,241,241,241,241,241,0,0,0,241,241,241,241,241,241,241,241,239,239,239,240,240,239,239,239,239,239,238,238,239,240,242,246,250,252,254,256,0,0,47.21009803,47.21006091,47.2100238,47.20998668,47.20994956,47.20991245,47.20987533,47.20983822,0,0,47.21024649,47.2102836,47.21032072,47.21035783,47.21039495,47.21043207,47.21046918,47.2105063,0,0,16.42886862,16.4289059,16.42894319,16.42898048,16.42901776,16.42905505,16.42909234,16.42912962,0,0,16.42871947,16.42868218,16.42864489,16.42860761,16.42857032,16.42853303,16.42849574,16.42845846
37.55,16.41221967,47.20735221,16.69924423,10.91788536,23.19859051,0,0,241,241,241,100,241,241,241,241,0,0,0,241,241,241,241,241,241,241,241,239,239,240,240,240,240,240,239,239,239,238,238,238,240,242,244,246,248,251,252,0,0,47.21033828,47.21030022,47.21026215,47.21022409,47.21018602,47.21014796,47.21010989,47.21007183,0,0,47.21049054,47.2105286,47.21056667,47.21060473,47.2106428,47.21068086,47.21071893,47.21075699,0,0,16.42942055,16.42945572,16.42949088,16.42952605,16.42956122,16.42959638,16.42963155,16.42966671,0,0,16.42927989,16.42924472,16.42920955,16.42917439,16.42913922,16.42910405,16.42906889,16.42903372
