Stream_KM,Elevation,Gradient,BottomWidth,ChannelAngleZ ,Mannings_n,SedThermalConductivity,SedThermalDiffusivity,SedHyporheicThickness,%HyporheicExchange,Porosity
38,239,0.005,2,0.325,0.1,2,0.0064,0.1,0.01,0.45
37.95,239,0.005,2,0.325,0.1,2,0.0064,0.1,0.01,0.45
37.9,240,0.005,2,0.325,0.1,2,0.0064,0.1,0.01,0.45
37.85,240,0.005,2,0.325,0.1,2,0.0064,0.1,0.01,0.45
37.8,240,0.005,2,0.325,0.1,2,0.0064,0.1,0.01,0.45
37.75,239,0.02,2,0.325,0.1,2,0.0064,0.1,0.01,0.45
37.7,239,0.005,2,0.325,0.1,2,0.0064,0.1,0.01,0.45
37.65,239,0.005,2,0.325,0.1,2,0.0064,0.1,0.01,0.45
37.6,239,0.005,2,0.325,0.1,2,0.0064,0.1,0.01,0.45
37.55,239,0.005,2,0.325,0.1,2,0.0064,0.1,0.01,0.45
37.5,239,0.005,2,0.325,0.1,2,0.0064,0.1,0.01,0.45
37.45,239,0.005,6,0.75,0.5,2,0.0064,0.1,0.01,0.5
37.4,239,0.005,6,0.75,0.5,2,0.0064,0.1,0.01,0.5
37.35,239,0.005,6,0.75,0.5,2,0.0064,0.1,0.01,0.5
37.3,239,0.005,6,0.75,0.5,2,0.0064,0.1,0.01,0.5
37.25,239,0.005,6,0.75,0.5,2,0.0064,0.1,0.01,0.5
37.2,239,0.005,6,0.75,0.5,2,0.0064,0.1,0.01,0.5
37.15,238,0.02,6,0.75,0.5,2,0.0064,0.1,0.01,0.5
37.1,239,0.005,6,0.75,0.5,2,0.0064,0.1,0.01,0.5
37.05,239,0.005,6,0.75,0.5,2,0.0064,0.1,0.01,0.5
37,239,0.005,6,0.75,0.5,2,0.0064,0.1,0.01,0.5
36.95,239,0.005,6,0.75,0.5,2,0.0064,0.1,0.01,0.5
36.9,238,0.02,6,0.75,0.5,2,0.0064,0.1,0.01,0.5
36.85,238,0.005,6,0.75,0.5,2,0.0064,0.1,0.01,0.5
36.8,238,0.005,6,0.75,0.5,2,0.0064,0.1,0.01,0.5
36.75,238,0.005,6,0.75,0.5,2,0.0064,0.1,0.01,0.5
36.7,239,0.005,6,0.75,0.5,2,0.0064,0.1,0.01,0.5
36.65,238,0.02,6,0.75,0.5,2,0.0064,0.1,0.01,0.5
36.6,238,0.005,6,0.75,0.5,2,0.0064,0.1,0.01,0.5
36.55,238,0.005,6,0.75,0.5,2,0.0064,0.1,0.01,0.5
36.5,238,0.005,6,0.75,0.5,2,0.0064,0.1,0.01,0.5
36.45,238,0.005,6,0.75,0.5,2,0.0064,0.1,0.01,0.5
36.4,238,0.005,6,0.75,0.5,2,0.0064,0.1,0.01,0.5
36.35,238,0.005,6,0.75,0.5,2,0.0064,0.1,0.01,0.5
36.3,238,0.005,6,0.75,0.5,2,0.0064,0.1,0.01,0.5
36.25,238,0.005,6,0.75,0.5,2,0.0064,0.1,0.01,0.5
36.2,238,0.005,6,0.75,0.5,2,0.0064,0.1,0.01,0.5
36.15,238,0.005,6,0.75,0.5,2,0.0064,0.1,0.01,0.5
36.1,238,0.005,6,0.75,0.5,2,0.0064,0.1,0.01,0.5
36.05,238,0.005,6,0.75,0.5,2,0.0064,0.1,0.01,0.5
36,238,0.005,6,0.75,0.5,2,0.0064,0.1,0.01,0.5
35.95,238,0.005,6,0.75,0.5,2,0.0064,0.1,0.01,0.5
35.9,238,0.005,6,0.75,0.5,2,0.0064,0.1,0.01,0.5
35.85,238,0.005,6,0.75,0.5,2,0.0064,0.1,0.01,0.5
35.8,238,0.005,6,0.75,0.5,2,0.0064,0.1,0.01,0.5
35.75,238,0.005,6,0.75,0.5,2,0.0064,0.1,0.01,0.5
35.7,238,0.005,6,0.75,0.5,2,0.0064,0.1,0.01,0.5
35.65,238,0.005,6,0.75,0.5,2,0.0064,0.1,0.01,0.5
35.6,237,0.02,6,0.75,0.5,2,0.0064,0.1,0.01,0.5
35.55,238,0.005,6,0.75,0.5,2,0.0064,0.1,0.01,0.5
35.5,238,0.005,6,0.75,0.5,2,0.0064,0.1,0.01,0.5
35.45,237,0.02,6,0.75,0.5,2,0.0064,0.1,0.01,0.5
35.4,237,0.005,6,0.75,0.5,2,0.0064,0.1,0.01,0.5
35.35,237,0.005,6,0.75,0.5,2,0.0064,0.1,0.01,0.5
35.3,237,0.005,6,0.75,0.5,2,0.0064,0.1,0.01,0.5
35.25,237,0.005,6,0.75,0.5,2,0.0064,0.1,0.01,0.5
35.2,237,0.005,6,0.75,0.5,2,0.0064,0.1,0.01,0.5
35.15,237,0.005,6,0.75,0.5,2,0.0064,0.1,0.01,0.5
35.1,237,0.005,6,0.75,0.5,2,0.0064,0.1,0.01,0.5
35.05,237,0.005,6,0.75,0.5,2,0.0064,0.1,0.01,0.5
35,237,0.005,6,0.75,0.5,2,0.0064,0.1,0.01,0.5
34.95,237,0.005,6,0.75,0.5,2,0.0064,0.1,0.01,0.5
34.9,237,0.005,6,0.75,0.5,2,0.0064,0.1,0.01,0.5
34.85,237,0.005,6,0.75,0.5,2,0.0064,0.1,0.01,0.5
34.8,237,0.005,6,0.75,0.5,2,0.0064,0.1,0.01,0.5
34.75,237,0.005,6,0.75,0.5,2,0.0064,0.1,0.01,0.5
34.7,237,0.005,6,0.75,0.5,2,0.0064,0.1,0.01,0.5
34.65,237,0.005,6,0.75,0.5,2,0.0064,0.1,0.01,0.5
34.6,236,0.02,6,0.75,0.5,2,0.0064,0.1,0.01,0.5
34.55,237,0.005,6,0.75,0.5,2,0.0064,0.1,0.01,0.5
34.5,238,0.005,6,0.75,0.5,2,0.0064,0.1,0.01,0.5
34.45,239,0.005,6,0.75,0.5,2,0.0064,0.1,0.01,0.5
34.4,0,4.78,6,0.75,0.5,2,0.0064,0.1,0.01,0.5
34.35,0,0.005,6,0.75,0.5,2,0.0064,0.1,0.01,0.5
34.3,240,0.005,6,0.75,0.5,2,0.0064,0.1,0.01,0.5
34.25,236,0.08,6,0.75,0.5,2,0.0064,0.1,0.01,0.5
34.2,238,0.005,6,0.75,0.5,2,0.0064,0.1,0.01,0.5
34.15,234,0.08,12,0.15,0.035,2,0.0064,0.1,0.01,0.5
34.1,234,0.005,12,0.15,0.035,2,0.0064,0.1,0.01,0.5
34.05,233,0.02,12,0.15,0.035,2,0.0064,0.1,0.01,0.5
34,233,0.005,12,0.15,0.035,2,0.0064,0.1,0.01,0.5
33.95,232,0.02,12,0.15,0.035,2,0.0064,0.1,0.01,0.5
33.9,232,0.005,12,0.15,0.035,2,0.0064,0.1,0.01,0.5
33.85,232,0.005,12,0.15,0.035,2,0.0064,0.1,0.01,0.5
33.8,232,0.005,12,0.15,0.035,2,0.0064,0.1,0.01,0.5
33.75,232,0.005,12,0.15,0.035,2,0.0064,0.1,0.01,0.5
33.7,232,0.005,12,0.15,0.035,2,0.0064,0.1,0.01,0.5
33.65,231,0.02,12,0.15,0.035,2,0.0064,0.1,0.01,0.5
33.6,231,0.005,12,0.15,0.035,2,0.0064,0.1,0.01,0.5
33.55,231,0.005,12,0.15,0.035,2,0.0064,0.1,0.01,0.5
33.5,231,0.005,12,0.15,0.035,2,0.0064,0.1,0.01,0.5
33.45,232,0.005,12,0.15,0.035,2,0.0064,0.1,0.01,0.5
33.4,231,0.02,12,0.15,0.035,2,0.0064,0.1,0.01,0.5
33.35,231,0.005,12,0.15,0.035,2,0.0064,0.1,0.01,0.5
33.3,231,0.005,12,0.15,0.035,2,0.0064,0.1,0.01,0.5
33.25,231,0.005,12,0.15,0.035,2,0.0064,0.1,0.01,0.5
33.2,231,0.005,12,0.15,0.035,2,0.0064,0.1,0.01,0.5
33.15,231,0.005,12,0.15,0.035,2,0.0064,0.1,0.01,0.5
33.1,232,0.005,12,0.15,0.035,2,0.0064,0.1,0.01,0.5
33.05,232,0.005,12,0.15,0.035,2,0.0064,0.1,0.01,0.5
33,231,0.02,12,0.15,0.035,2,0.0064,0.1,0.01,0.5
32.95,231,0.005,12,0.15,0.035,2,0.0064,0.1,0.01,0.5
32.9,231,0.005,12,0.15,0.035,2,0.0064,0.1,0.01,0.5
32.85,232,0.005,12,0.15,0.035,2,0.0064,0.1,0.01,0.5
32.8,231,0.02,12,0.15,0.035,2,0.0064,0.1,0.01,0.5
32.75,231,0.005,12,0.15,0.5,2,0.0064,0.1,0.01,0.5
32.7,231,0.005,12,0.15,0.5,2,0.0064,0.1,0.01,0.5
32.65,231,0.005,12,0.15,0.5,2,0.0064,0.1,0.01,0.5
32.6,231,0.005,12,0.15,0.5,2,0.0064,0.1,0.01,0.5
32.55,231,0.005,12,0.15,0.5,2,0.0064,0.1,0.01,0.5
32.5,231,0.005,12,0.15,0.5,2,0.0064,0.1,0.01,0.5
32.45,231,0.005,12,0.15,0.5,2,0.0064,0.1,0.01,0.5
32.4,231,0.005,12,0.15,0.5,2,0.0064,0.1,0.01,0.5
32.35,231,0.005,12,0.15,0.5,2,0.0064,0.1,0.01,0.5
32.3,231,0.005,12,0.15,0.5,2,0.0064,0.1,0.01,0.5
32.25,231,0.005,12,0.15,0.5,2,0.0064,0.1,0.01,0.5
32.2,231,0.005,12,0.15,0.5,2,0.0064,0.1,0.01,0.5
32.15,231,0.005,12,0.15,0.5,2,0.0064,0.1,0.01,0.5
32.1,231,0.005,12,0.15,0.5,2,0.0064,0.1,0.01,0.5
32.05,231,0.005,12,0.15,0.5,2,0.0064,0.1,0.01,0.5
32,231,0.005,12,0.15,0.5,2,0.0064,0.1,0.01,0.5
31.95,231,0.005,12,0.15,0.5,2,0.0064,0.1,0.01,0.5
31.9,231,0.005,12,0.15,0.5,2,0.0064,0.1,0.01,0.5
31.85,231,0.005,12,0.15,0.5,2,0.0064,0.1,0.01,0.5
31.8,230,0.02,12,0.15,0.5,2,0.0064,0.1,0.01,0.5
31.75,229,0.02,12,0.15,0.5,2,0.0064,0.1,0.01,0.5
31.7,228,0.02,12,0.15,0.5,2,0.0064,0.1,0.01,0.5
31.65,229,0.005,12,0.15,0.1,2,0.0064,0.1,0.01,0.4
31.6,228,0.02,12,0.15,0.1,2,0.0064,0.1,0.01,0.4
31.55,228,0.005,12,0.15,0.1,2,0.0064,0.1,0.01,0.4
31.5,228,0.005,12,0.15,0.1,2,0.0064,0.1,0.01,0.4
31.45,228,0.005,12,0.15,0.1,2,0.0064,0.1,0.01,0.4
31.4,228,0.005,12,0.15,0.1,2,0.0064,0.1,0.01,0.4
31.35,228,0.005,12,0.15,0.1,2,0.0064,0.1,0.01,0.4
31.3,228,0.005,12,0.15,0.1,2,0.0064,0.1,0.01,0.4
31.25,228,0.005,12,0.15,0.1,2,0.0064,0.1,0.01,0.4
31.2,228,0.005,12,0.15,0.1,2,0.0064,0.1,0.01,0.4
31.15,228,0.005,12,0.15,0.1,2,0.0064,0.1,0.01,0.4
31.1,228,0.005,12,0.15,0.1,2,0.0064,0.1,0.01,0.4
31.05,228,0.005,12,0.15,0.1,2,0.0064,0.1,0.01,0.4
31,228,0.005,12,0.15,0.1,2,0.0064,0.1,0.01,0.4
30.95,228,0.005,12,0.15,0.1,2,0.0064,0.1,0.01,0.4
30.9,228,0.005,12,0.15,0.1,2,0.0064,0.1,0.01,0.4
30.85,228,0.005,12,0.15,0.1,2,0.0064,0.1,0.01,0.4
30.8,228,0.005,12,0.15,0.1,2,0.0064,0.1,0.01,0.4
30.75,228,0.005,12,0.15,0.1,2,0.0064,0.1,0.01,0.4
30.7,228,0.005,12,0.15,0.1,2,0.0064,0.1,0.01,0.4
30.65,228,0.005,12,0.15,0.1,2,0.0064,0.1,0.01,0.4
30.6,228,0.005,12,0.15,0.1,2,0.0064,0.1,0.01,0.4
30.55,228,0.005,12,0.15,0.1,2,0.0064,0.1,0.01,0.4
30.5,228,0.005,12,0.15,0.1,2,0.0064,0.1,0.01,0.4
30.45,228,0.005,12,0.15,0.1,2,0.0064,0.1,0.01,0.4
30.4,228,0.005,12,0.15,0.1,2,0.0064,0.1,0.01,0.4
30.35,228,0.005,12,0.15,0.1,2,0.0064,0.1,0.01,0.4
30.3,228,0.005,12,0.15,0.1,2,0.0064,0.1,0.01,0.4
30.25,228,0.005,12,0.15,0.1,2,0.0064,0.1,0.01,0.4
30.2,228,0.005,12,0.15,0.1,2,0.0064,0.1,0.01,0.4
30.15,229,0.005,12,0.15,0.1,2,0.0064,0.1,0.01,0.4
30.1,228,0.02,12,0.15,0.1,2,0.0064,0.1,0.01,0.4
30.05,228,0.005,12,0.15,0.1,2,0.0064,0.1,0.01,0.4
30,228,0.005,12,0.15,0.1,2,0.0064,0.1,0.01,0.4
29.95,228,0.005,12,0.15,0.1,2,0.0064,0.1,0.01,0.4
29.9,228,0.005,12,0.15,0.1,2,0.0064,0.1,0.01,0.4
29.85,228,0.005,12,0.15,0.1,2,0.0064,0.1,0.01,0.4
29.8,228,0.005,12,0.15,0.1,2,0.0064,0.1,0.01,0.4
29.75,228,0.005,12,0.15,0.1,2,0.0064,0.1,0.01,0.4
29.7,228,0.005,12,0.15,0.1,2,0.0064,0.1,0.01,0.4
29.65,228,0.005,12,0.15,0.1,2,0.0064,0.1,0.01,0.4
29.6,228,0.005,12,0.15,0.1,2,0.0064,0.1,0.01,0.4
29.55,228,0.005,12,0.15,0.1,2,0.0064,0.1,0.01,0.4
29.5,228,0.005,12,0.15,0.1,2,0.0064,0.1,0.01,0.4
29.45,228,0.005,12,0.15,0.1,2,0.0064,0.1,0.01,0.4
29.4,228,0.005,12,0.15,0.1,2,0.0064,0.1,0.01,0.4
29.35,228,0.005,12,0.15,0.1,2,0.0064,0.1,0.01,0.4
29.3,228,0.005,12,0.15,0.1,2,0.0064,0.1,0.01,0.4
29.25,228,0.005,12,0.15,0.1,2,0.0064,0.1,0.01,0.4
29.2,228,0.005,12,0.15,0.1,2,0.0064,0.1,0.01,0.4
29.15,228,0.005,14,0.15,0.5,2,0.0064,0.1,0.01,0.4
29.1,228,0.005,14,0.15,0.5,2,0.0064,0.1,0.01,0.4
29.05,228,0.005,14,0.15,0.5,2,0.0064,0.1,0.01,0.4
29,228,0.005,14,0.15,0.5,2,0.0064,0.1,0.01,0.4
28.95,228,0.005,14,0.15,0.5,2,0.0064,0.1,0.01,0.4
28.9,225,0.06,14,0.15,0.5,2,0.0064,0.1,0.01,0.4
28.85,225,0.005,14,0.15,0.5,2,0.0064,0.1,0.01,0.4
28.8,225,0.005,14,0.15,0.5,2,0.0064,0.1,0.01,0.4
28.75,225,0.005,14,0.15,0.5,2,0.0064,0.1,0.01,0.4
28.7,225,0.005,14,0.15,0.5,2,0.0064,0.1,0.01,0.4
28.65,225,0.005,14,0.15,0.5,2,0.0064,0.1,0.01,0.4
28.6,225,0.005,14,0.15,0.5,2,0.0064,0.1,0.01,0.4
28.55,225,0.005,14,0.15,0.5,2,0.0064,0.1,0.01,0.4
28.5,225,0.005,14,0.15,0.5,2,0.0064,0.1,0.01,0.4
28.45,225,0.005,14,0.15,0.5,2,0.0064,0.1,0.01,0.4
28.4,225,0.005,14,0.15,0.5,2,0.0064,0.1,0.01,0.4
