Stream_KM,Longitude,Latitude,TopoWest,TopoSouth,TopoEast,VEG0_RT,VEG1_RT,VEG2_RT,VEG3_RT,VEG4_RT,VEG5_RT,VEG6_RT,VEG7_RT,VEG8_RT,VEG9_RT,VEG0_LT,VEG1_LT,VEG2_LT,VEG3_LT,VEG4_LT,VEG5_LT,VEG6_LT,VEG7_LT,VEG8_LT,VEG9_LT,ELEV_V0_RT,ELEV_V1_RT,ELEV_V2_RT,ELEV_V3_RT,ELEV_V4_RT,ELEV_V5_RT,ELEV_V6_RT,ELEV_V7_RT,ELEV_V8_RT,ELEV_V9_RT,ELEV_V0_LT,ELEV_V1_LT,ELEV_V2_LT,ELEV_V3_LT,ELEV_V4_LT,ELEV_V5_LT,ELEV_V6_LT,ELEV_V7_LT,ELEV_V8_LT,ELEV_V9_LT,LAT_V0_RT,LAT_V1_RT,LAT_V2_RT,LAT_V3_RT,LAT_V4_RT,LAT_V5_RT,LAT_V6_RT,LAT_V7_RT,LAT_V8_RT,LAT_V9_RT,LAT_V0_LT,LAT_V1_LT,LAT_V2_LT,LAT_V3_LT,LAT_V4_LT,LAT_V5_LT,LAT_V6_LT,LAT_V7_LT,LAT_V8_LT,LAT_V9_LT,LON_V0_RT,LON_V1_RT,LON_V2_RT,LON_V3_RT,LON_V4_RT,LON_V5_RT,LON_V6_RT,LON_V7_RT,LON_V8_RT,LON_V9_RT,LON_V0_LT,LON_V1_LT,LON_V2_LT,LON_V3_LT,LON_V4_LT,LON_V5_LT,LON_V6_LT,LON_V7_LT,LON_V8_LT,LON_V9_LT
113.5,15.81493939,47.3813505,4.78997027,26.56505118,18.43494882,166.00,166.00,166.00,166.00,166.00,101.00,101.00,101.00,101.00,101.00,166.00,182.00,182.00,101.00,101.00,101.00,101.00,101.00,101.00,101.00,918.00,918.00,917.00,918.00,917.00,918.00,918.00,918.00,919.00,919.00,918.00,918.00,919.00,920.00,920.00,920.00,921.00,921.00,922.00,923.00,47.38,47.38,47.38,47.38,47.38,47.38,47.38,47.38,47.38,47.38,47.38,47.38,47.38,47.38,47.38,47.38,47.38,47.38,47.38,47.38,15.82,15.82,15.82,15.82,15.82,15.82,15.82,15.82,15.82,15.82,15.82,15.82,15.82,15.82,15.82,15.82,15.81,15.81,15.81,15.81
113,15.81324467,47.38559289,8.236710049,9.040657668,26.56505118,0.00,165.00,165.00,165.00,165.00,165.00,165.00,165.00,165.00,165.00,0.00,165.00,165.00,165.00,165.00,165.00,165.00,165.00,101.00,101.00,0.00,868.00,869.00,870.00,871.00,872.00,872.00,873.00,873.00,873.00,0.00,866.00,865.00,864.00,863.00,863.00,863.00,863.00,863.00,863.00,0.00,47.39,47.39,47.39,47.39,47.39,47.39,47.39,47.39,47.39,0.00,47.39,47.39,47.39,47.39,47.39,47.39,47.39,4.39,47.38,0.00,15.81,15.81,15.81,15.81,15.81,15.81,15.81,15.81,15.81,0.00,15.81,15.81,15.81,15.81,15.81,15.81,15.81,15.81,15.81
112.5,15.81129548,47.38915889,9.841404499,8.19212624,19.48612957,0.00,173.00,173.00,173.00,173.00,173.00,173.00,173.00,173.00,173.00,0.00,173.00,101.00,101.00,101.00,101.00,101.00,101.00,101.00,101.00,0.00,828.00,829.00,830.00,831.00,832.00,834.00,835.00,837.00,838.00,0.00,827.00,828.00,828.00,829.00,830.00,831.00,831.00,832.00,833.00,0.00,47.39,47.39,47.39,47.39,47.39,47.39,47.39,47.39,47.39,0.00,47.39,47.39,47.39,47.39,47.39,47.39,47.39,47.39,47.39,0.00,15.81,15.81,15.81,15.81,15.81,15.81,15.81,15.81,15.81,0.00,15.81,15.81,15.81,15.81,15.81,15.81,15.81,15.81,15.81
112,15.81198557,47.3933102,18.43494882,7.160579688,18.43494882,0.00,246.00,246.00,101.00,101.00,101.00,101.00,101.00,101.00,101.00,0.00,101.00,101.00,101.00,101.00,101.00,101.00,101.00,101.00,101.00,0.00,805.00,806.00,807.00,807.00,808.00,808.00,808.00,809.00,809.00,0.00,804.00,804.00,804.00,803.00,804.00,804.00,804.00,804.00,804.00,0.00,47.39,47.39,47.39,47.39,47.39,47.39,47.39,47.39,47.39,0.00,47.39,47.39,47.39,47.39,47.39,47.39,47.39,47.39,47.39,0.00,15.81,15.81,15.81,15.81,15.81,15.81,15.81,15.81,15.81,0.00,15.81,15.81,15.81,15.81,15.81,15.81,15.81,15.81,15.81
111.5,15.81511531,47.39607822,9.462322208,6.024359552,2.975273904,0.00,101.00,101.00,101.00,101.00,101.00,101.00,101.00,101.00,101.00,0.00,101.00,101.00,101.00,101.00,101.00,101.00,165.00,165.00,165.00,0.00,788.00,788.00,789.00,789.00,789.00,789.00,789.00,789.00,789.00,0.00,788.00,788.00,788.00,788.00,788.00,788.00,788.00,788.00,787.00,0.00,47.40,47.40,47.40,47.40,47.40,47.40,47.40,47.40,47.40,0.00,47.40,47.40,47.40,47.40,47.40,47.40,47.40,47.40,47.40,0.00,15.81,15.81,15.81,15.81,15.81,15.81,15.81,15.81,15.81,0.00,15.81,15.81,15.81,15.81,15.81,15.81,15.82,15.82,15.82
111,15.81767399,47.39948222,7.432948015,11.30993247,5.869600443,0.00,247.00,101.00,101.00,101.00,101.00,101.00,101.00,101.00,101.00,0.00,101.00,101.00,101.00,101.00,101.00,101.00,101.00,101.00,101.00,0.00,777.00,777.00,777.00,777.00,777.00,777.00,777.00,778.00,778.00,0.00,777.00,776.00,776.00,776.00,776.00,776.00,776.00,775.00,775.00,0.00,47.40,47.40,47.40,47.40,47.40,47.40,47.40,47.40,47.40,0.00,47.40,47.40,47.40,47.40,47.40,47.40,47.40,47.40,47.40,0.00,15.82,15.82,15.82,15.82,15.82,15.82,15.82,15.82,15.82,0.00,15.82,15.82,15.82,15.82,15.82,15.82,15.82,15.82,15.82
110.5,15.82140085,47.40174159,45,45,5.748663417,0.00,241.00,176.00,176.00,176.00,176.00,176.00,176.00,176.00,176.00,0.00,101.00,101.00,101.00,101.00,101.00,101.00,101.00,101.00,101.00,0.00,766.00,767.00,767.00,766.00,767.00,767.00,767.00,767.00,768.00,0.00,766.00,766.00,766.00,767.00,766.00,766.00,766.00,766.00,766.00,0.00,47.40,47.40,47.40,47.40,47.40,47.40,47.40,47.40,47.40,0.00,47.40,47.40,47.40,47.40,47.40,47.40,47.40,47.40,47.40,0.00,15.82,15.82,15.82,15.82,15.82,15.82,15.82,15.82,15.82,0.00,15.82,15.82,15.82,15.82,15.82,15.82,15.82,15.82,15.82
110,15.82217956,47.4054646,45,45,26.56505118,0.00,172.00,172.00,172.00,187.00,119.00,119.00,119.00,119.00,119.00,0.00,172.00,172.00,172.00,172.00,172.00,101.00,101.00,101.00,101.00,0.00,762.00,763.00,765.00,765.00,766.00,767.00,768.00,769.00,770.00,0.00,760.00,758.00,758.00,758.00,758.00,758.00,758.00,758.00,758.00,0.00,47.41,47.41,47.41,47.41,47.41,47.41,47.41,47.41,47.41,0.00,47.41,47.41,47.41,47.41,47.40,47.40,47.40,47.40,47.40,0.00,15.82,15.82,15.82,15.82,15.82,15.82,15.82,15.82,15.82,0.00,15.82,15.82,15.82,15.82,15.82,15.82,15.82,15.82,15.82
109.5,15.82103991,47.40927188,10.89872581,45,45,0.00,181.00,181.00,181.00,181.00,101.00,101.00,101.00,101.00,101.00,0.00,101.00,101.00,101.00,101.00,101.00,101.00,101.00,101.00,101.00,0.00,750.00,752.00,757.00,761.00,763.00,764.00,766.00,768.00,770.00,0.00,749.00,749.00,749.00,749.00,749.00,749.00,749.00,749.00,749.00,0.00,47.41,47.41,47.41,47.41,47.41,47.41,47.41,47.41,47.41,0.00,47.41,47.41,47.41,47.41,47.41,47.41,47.41,47.41,47.41,0.00,15.82,15.82,15.82,15.82,15.82,15.82,15.82,15.82,15.82,0.00,15.82,15.82,15.82,15.82,15.82,15.82,15.82,15.82,15.82
109,15.8206146,47.41267566,17.50716305,15.9453959,10.87505825,0.00,186.00,186.00,186.00,186.00,186.00,186.00,186.00,186.00,186.00,0.00,144.00,144.00,101.00,101.00,101.00,101.00,101.00,101.00,101.00,0.00,739.00,739.00,739.00,739.00,738.00,738.00,738.00,738.00,738.00,0.00,738.00,739.00,742.00,744.00,745.00,747.00,749.00,751.00,752.00,0.00,47.41,47.41,47.41,47.41,47.41,47.41,47.41,47.41,47.41,0.00,47.41,47.41,47.41,47.41,47.41,47.41,47.41,47.41,47.41,0.00,15.82,15.82,15.82,15.82,15.82,15.82,15.82,15.82,15.82,0.00,15.82,15.82,15.82,15.82,15.82,15.82,15.82,15.82,15.82
